Country,date,numCase
Italy, 1 ,110574
Italy, 2 ,115242
Italy, 3 ,119827
Italy, 4 ,124632
Italy, 5 ,128948
Italy, 6 ,132547
Italy, 7 ,135586
Italy, 8 ,139422
Italy, 9 ,143626
Italy, 10 ,147577
Italy, 11 ,152271
Italy, 12 ,156363
Italy, 13 ,159516
Italy, 14 ,162488
Italy, 15 ,165155
Italy, 16 ,168941
Italy, 17 ,172434
Italy, 18 ,175925
Italy, 19 ,178972
Italy, 20 ,181228
Italy, 21 ,183957
Italy, 22 ,187327
Italy, 23 ,189973
Italy, 24 ,192994
Italy, 25 ,195351
Italy, 26 ,197675
Italy, 27 ,199414
Italy, 28 ,201505
Italy, 29 ,203591
Italy, 30 ,205463
Italy, 31 ,207428
US, 1 ,213242
US, 2 ,243622
US, 3 ,275367
US, 4 ,308650
US, 5 ,336802
US, 6 ,366317
US, 7 ,397121
US, 8 ,428654
US, 9 ,462780
US, 10 ,496535
US, 11 ,526396
US, 12 ,555313
US, 13 ,580619
US, 14 ,607670
US, 15 ,636350
US, 16 ,667592
US, 17 ,699706
US, 18 ,732197
US, 19 ,758809
US, 20 ,784326
US, 21 ,811865
US, 22 ,840351
US, 23 ,869170
US, 24 ,905358
US, 25 ,938154
US, 26 ,965785
US, 27 ,988197
US, 28 ,1012582
US, 29 ,1039909
US, 30 ,1069424
US, 31 ,1103461
VietNam, 1 ,218
VietNam, 2 ,233
VietNam, 3 ,237
VietNam, 4 ,240
VietNam, 5 ,241
VietNam, 6 ,245
VietNam, 7 ,249
VietNam, 8 ,251
VietNam, 9 ,255
VietNam, 10 ,257
VietNam, 11 ,258
VietNam, 12 ,262
VietNam, 13 ,265
VietNam, 14 ,266
VietNam, 15 ,267
VietNam, 16 ,268
VietNam, 17 ,268
VietNam, 18 ,268
VietNam, 19 ,268
VietNam, 20 ,268
VietNam, 21 ,268
VietNam, 22 ,268
VietNam, 23 ,268
VietNam, 24 ,270
VietNam, 25 ,270
VietNam, 26 ,270
VietNam, 27 ,270
VietNam, 28 ,270
VietNam, 29 ,270
VietNam, 30 ,270
VietNam, 31 ,270
France, 1 ,57749
France, 2 ,59929
France, 3 ,65202
France, 4 ,69500
France, 5 ,71412
France, 6 ,75343
France, 7 ,79163
France, 8 ,83057
France, 9 ,87366
France, 10 ,91738
France, 11 ,94863
France, 12 ,121712
France, 13 ,125394
France, 14 ,130365
France, 15 ,133585
France, 16 ,146075
France, 17 ,148084
France, 18 ,148086
France, 19 ,153011
France, 20 ,155393
France, 21 ,158168
France, 22 ,155980
France, 23 ,158303
France, 24 ,159952
France, 25 ,161644
France, 26 ,162220
France, 27 ,165963
France, 28 ,169053
France, 29 ,166543
France, 30 ,167299
France, 31 ,167305
